授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
朝鮮語IIＡ（演習） K2201,郭 旻錫,,前期,金4,外国語群,,
日本語初級ＩＡ（４Ｈコース）,家本 太郎,,前期,金4・金5,外国語群,,
日本語初級IIＡ（４Ｈコース）,川嶌 信恵,,前期,金4・金5,外国語群,,
日本語中級ＩＡ（４Ｈコース）,京谷 麻矢,,前期,金4・金5,外国語群,,
日本語中級IIＡ（４Ｈコース）,真下 恭子,,前期,金4・金5,外国語群,,
日本語上級（研究発表）,本多 朱里,,前期,金4,外国語群,,
イタリア語ＩＡ（演習） I1202,NENCETTI Marco,,前期,金4,外国語群,,
アラビア語IIIＡ A301,三代川 寛子,,前期,金4,外国語群,,
情報AI基礎演習［工学部］ （地球工学科） 1T1,森 翔太郎・島田 洋子,,前期,金4,情報群,,
情報AI基礎演習［工学部］ （地球工学科） 1T2,久保 大樹・小林 和弥,,前期,金4,情報群,,
現代の数学と数理解析 －基礎概念とその諸科学への広がり,"緒方 芳子・玉川 安騎男・牧野 和久・小澤 登高・河村 彰星・Croydon, David Alexander・磯野 優介・照井 一成・SEHNEM, Camila・上田 福大・岸本 展・山下 剛・Helmke，Stefan・渡辺 聡美",,前期,金5,自然群,,
Introduction to Behavioral Neuroscience-E2,VEALE，Richard Edmund,,前期,金5,自然群,,
英語リーディング 単位未修得者クラス ESR06,池田 寛子,,前期,金5,外国語群,,
ドイツ語ＩＡ（文法） D1124,石澤 将人,,前期,金5,外国語群,,
ドイツ語ＩＡ（文法） D1125,松波 烈,,前期,金5,外国語群,,
フランス語ＩＡ（演習） F1213,FERNANDEZ，Gilles,,前期,金5,外国語群,,
フランス語ＩＡ（演習） F1214,GRAZIANI，Jean-Francois Rene,,前期,金5,外国語群,,
中国語ＩＡ（文法） C1125,上原 尉暢,,前期,金5,外国語群,,
スペイン語ＩＡ（演習） S1209,塚原 信行・RIOS SALOMA Monica,,前期,金5,外国語群,,
スペイン語ＩＡ（演習） S1210,塚原 信行・Perez de Camino Fernandez Jose Antonio,,前期,金5,外国語群,,
スペイン語ＩＡ（演習） S1211,塚原 信行・Aguilar，Milton,,前期,金5,外国語群,,
朝鮮語ＩＡ（文法） K1105,林 玲穂,,前期,金5,外国語群,,
朝鮮語ＩＡ（演習） K1205,郭 旻錫,,前期,金5,外国語群,,
中国語IIＡC212,前田 尚香,,前期,金5,外国語群,,
中国語IIＡC223,劉 愛群,,前期,金5,外国語群,,
日本語上級（読解）,大和 祐子,,前期,金5,外国語群,,
日本語上級（文献講読IA）,河合 淳子,,前期,金5,外国語群,,
ロシア語IIIＡ R301,堀口 大樹,,前期,金5,外国語群,,
プログラミング演習（人工知能）,丸山 善宏,,前期,金5,情報群,,
防災学概論,倉田 真宏・池田 芳樹・境 有紀・西嶋 一欽・西野 智研・長嶋 史明,,後期,月1,自然群,,
"基礎有機化学II 1H1,1H2,1H3",藤田 健一,,後期,月1,自然群,,
"基礎有機化学II 1M1,1M2,1M3",小松 直樹,,後期,月1,自然群,,
"細胞と分子の基礎生物学 1A1,1A2,1A3,1A4",嶋田 知生・山下 高廣,,後期,月1,自然群,,
細胞と分子の基礎生物学,寺川 剛・今元 泰,,後期,月1,自然群,,
"数理統計 2T7,2T8,2T9",杉山 登志,,後期,月1,自然群,,
英語リーディング ER30 1S5,中村 仁紀,,後期,月1,外国語群,,
英語リーディング ER31 1S6,VILLA，Kaoru Nakao,,後期,月1,外国語群,,
英語リーディング ER32 1S7,中森 誉之,,後期,月1,外国語群,,
英語リーディング ER33 1S8,西本 希呼,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW26a 1S1,DUNLAP JACOB GALEN,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW26b 1S1,MILNE，Daniel,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW27a 1S2,MCCARTHY，Tanya Miranda,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW27b 1S2,辻田 明子,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW28a 1S3,DENNISON，David Barrett,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW28b 1S3,岡田 悠佑,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW29a 1S4,Lees，David,,後期,月1,外国語群,,
英語ライティング－リスニングＢ EW29b 1S4,佐藤 美奈子,,後期,月1,外国語群,,
フランス語IIＢ（演習） F2251,Fauconnier，Franck,,後期,月1,外国語群,,
Introduction to Formal Languages-E2,Jesper Jansson,,後期,月1,情報群,,
微分積分学（講義・演義）Ｂ 1S1,三浦 達哉・原 誠人,,後期,月2・木1,自然群,,
微分積分学（講義・演義）Ｂ 1S3,浅岡 正幸・宮川 明裕,,後期,月2・木1,自然群,,
微分積分学（講義・演義）Ｂ 1S5,三浦 達哉・原 誠人,,後期,月2・木2,自然群,,
微分積分学（講義・演義）Ｂ 1S7,宮川 明裕・浅岡 正幸,,後期,月2・木2,自然群,,
"微分積分学（講義・演義）Ｂ 1A7,1A8",神 貞介・宮川 明裕,,後期,月2・水3,自然群,,
"線形代数学（講義・演義）Ｂ 1H1,1H2,1H3",木坂 正史,,後期,月2・水4,自然群,,
"線形代数学（講義・演義）Ｂ 1H1,1H2,1H3,1P1,1P2",木坂 正史,,後期,月2・水3,自然群,,
線形代数学（講義・演義）Ｂ 1S2,高村 茂・浅野 知紘,,後期,月2・木1,自然群,,
線形代数学（講義・演義）Ｂ 1S4,渡邉 忠之,,後期,月2・木1,自然群,,
線形代数学（講義・演義）Ｂ 1S6,高村 茂・浅野 知紘,,後期,月2・木2,自然群,,
線形代数学（講義・演義）Ｂ 1S8,渡邉 忠之,,後期,月2・木2,自然群,,
"線形代数学（講義・演義）Ｂ 1A1,1A2",郡 茉友子・川口 周,,後期,月2・水3,自然群,,
"線形代数学（講義・演義）Ｂ 1A3,1A4",郡 茉友子・石川 勝巳,,後期,月2・水4,自然群,,
線形代数学（講義・演義）Ｂ 1A6,井上 義也・井川 治,,後期,月2・水4,自然群,,
Fundamentals of Materials II-E2,GAO，Si,,後期,月2,自然群,,
無機化学入門Ｂ,田部 勢津久,,後期,月2,自然群,,
自然と環境の化学,杉山 雅人,,後期,月2,自然群,,
"数理統計 2S1,2S2,2S3,2S4,2S5,2S6,2S7,2S8",楠岡 誠一郎,,後期,月2,自然群,,
"数理統計 2T13,2T14,2T15,2T16",石井 信,,後期,月2,自然群,,
Introduction to Plant Physiology-E2,Daniel Epron,,後期,月2,自然群,,
英語リーディング ER16 1J5,GINSBURG，Jason,,後期,月2,外国語群,,
英語リーディング ER17 1J6,中村 仁紀,,後期,月2,外国語群,,
英語リーディング ER18 1J7,脇坂 美和子,,後期,月2,外国語群,,
英語リーディング ER19 1J8,谷口 一美,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW12a 1J1,PARSONS，Daniel William,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW12b 1J1,佐藤 美奈子,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW13a 1J2,DUNLAP JACOB GALEN,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW13b 1J2,岡田 悠佑,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW14a 1J3,Schipper Sara,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW14b 1J3,八木 淳一,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW15a 1J4,DENNISON，David Barrett,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW15b 1J4,藤澤 宜広,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW34a 1M1,VILLA，Kaoru Nakao,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW34b 1M1,Lees，David,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW35a 1M2,HAUSER，Jacob Richard,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW35b 1M2,西本 希呼,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW36a 1M3,MCCARTHY，Tanya Miranda,,後期,月2,外国語群,,
英語ライティング－リスニングＢ EW36b 1M3,辻田 明子,,後期,月2,外国語群,,
ドイツ語ＩＢ（演習） D1213,Iwai Stefanie,,後期,月2,外国語群,,
ドイツ語ＩＢ（演習） D1214,千田 まや,,後期,月2,外国語群,,
フランス語ＩＢ（演習） F1209,Fauconnier，Franck,,後期,月2,外国語群,,
中国語ＩＢ（文法） C1112,林 淑美,,後期,月2,外国語群,,
スペイン語ＩＢ（演習） S1205,塚原 信行・REINA OLMEDO，Jose Francisco,,後期,月2,外国語群,,
中国語IIＢC251,南 真理,,後期,月2,外国語群,,
中国語IIＢC263,劉 愛群,,後期,月2,外国語群,,
日本語初級Ｉ（漢字）,古川 由理子,,後期,月2,外国語群,,
日本語中級II（会話）,河内 彩香,,後期,月2,外国語群,,
日本語アカデミック・リーディング,大和 祐子,,後期,月2,外国語群,,
Introduction to Algorithms-E2,Jesper Jansson,,後期,月2,情報群,,
"微分積分学続論II－微分方程式 2T13,2T14,2T15,2T16",白石 大典,,後期,月3,自然群,,
微分積分学（講義・演義）Ｂ 1T1,大川 領・加藤 毅,,後期,月3・火1,自然群,,
微分積分学（講義・演義）Ｂ 1T3,大川 領・加藤 毅,,後期,月3・火2,自然群,,
微分積分学（講義・演義）Ｂ 1T18,神 貞介・濵口 雄史,,後期,月3・火1,自然群,,
微分積分学（講義・演義）Ｂ 1T19,三浦 達哉・野口 博史,,後期,月3・火1,自然群,,
微分積分学（講義・演義）Ｂ 1T21,神 貞介・濵口 雄史,,後期,月3・火2,自然群,,
微分積分学（講義・演義）Ｂ 1T22,野口 博史・三浦 達哉,,後期,月3・火2,自然群,,
線形代数学（講義・演義）Ｂ 1T2,伊藤 哲史・永見 誠二,,後期,月3・火1,自然群,,
線形代数学（講義・演義）Ｂ 1T4,永見 誠二・伊藤 哲史,,後期,月3・火2,自然群,,
線形代数学（講義・演義）Ｂ 1T17,柴田 泰輔・谷口 正樹,,後期,月3・火1,自然群,,
線形代数学（講義・演義）Ｂ 1T20,柴田 泰輔・谷口 正樹,,後期,月3・火2,自然群,,
Linear Algebra with Exercises B 1T25,"COLLINS，Benoit Vincent Pierre・ADAMO, Maria Stella",,後期,月3・火2,自然群,,
"物理学実験 1T7,1T8,1T9",木下 俊哉,,後期,月3・月4,自然群,,
"力学続論 1S3,1S6,1S7,1S8",蓑輪 陽介,,後期,月3,自然群,,
量子物理学,杉本 茂樹,,後期,月3,自然群,,
"基礎化学実験 1φ1,1φ2,1T10",田部 勢津久・戸谷 美夏・服部 明・秋葉 宏樹・朱 程遠・高橋 知子,,後期,月3・月4,自然群,,
Introduction to Surface Chemistry-E2,THUERMER，Stephan,,後期,月3,自然群,,
神経生理学の基礎 －生体情報論－,細川 浩,,後期,月3,自然群,,
生物学実習III ［細胞と分子生物学コース］,土屋 徹・谷村 文,,後期,月3・月4,自然群,,
地質工学入門,林 為人・小池 克明・福山 英一,,後期,月3,自然群,,
Introduction to Genetics and Evolution-E2,Adam Tsuda GUY,,後期,月3,自然群,,
英語ライティング－リスニングＢ EW52a 1T11,PARSONS，Daniel William,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW52b 1T11,庄子 萌,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW53a 1T12,Lees，David,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW53b 1T12,八木 淳一,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW54a 1T13,HAUSER，Jacob Richard,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW54b 1T13,岡田 悠佑,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW55a 1T14,"RYLANDER, John",,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW55b 1T14,中尾 朋子,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW56a 1T15,VILLA，Kaoru Nakao,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW56b 1T15,ルッケル瀬本 阿矢,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW57a 1T16,Schipper Sara,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW57b 1T16,川本 充,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW64a 1T23,MCCARTHY，Tanya Miranda,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW64b 1T23,MILNE，Daniel,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW65a 1T24,DUNLAP JACOB GALEN,,後期,月3,外国語群,,
英語ライティング－リスニングＢ EW65b 1T24,和泉 絵美,,後期,月3,外国語群,,
ドイツ語ＩＢ（文法） D1102,青木 三陽,,後期,月3,外国語群,,
ドイツ語ＩＢ（文法） D1107,井尻 楽,,後期,月3,外国語群,,
ドイツ語ＩＢ（演習） D1201,小田 直史,,後期,月3,外国語群,,
ドイツ語ＩＢ（演習） D1206,千田 まや,,後期,月3,外国語群,,
フランス語ＩＢ（文法） F1101,中筋 朋,,後期,月3,外国語群,,
フランス語ＩＢ（文法） F1102,守田 貴弘,,後期,月3,外国語群,,
中国語ＩＢ（文法） C1104,南 真理,,後期,月3,外国語群,,
中国語ＩＢ（演習） C1202,林 淑美,,後期,月3,外国語群,,
中国語ＩＢ（演習） C1206,津守 陽,,後期,月3,外国語群,,
スペイン語ＩＢ（文法） S1101,塚原 信行・柿原 武史,,後期,月3,外国語群,,
スペイン語ＩＢ（演習） S1203,塚原 信行・REINA OLMEDO，Jose Francisco,,後期,月3,外国語群,,
ドイツ語IIＢ D2151,須藤 秀平,,後期,月3,外国語群,,
ドイツ語IIＢ（ライティング） D2451,Iwai Stefanie,,後期,月3,外国語群,,
フランス語IIＢ F2151,上田 泰史,,後期,月3,外国語群,,
フランス語IIＢ F2152,坂井 礼文,,後期,月3,外国語群,,
中国語IIＢC264,林 麗てい,,後期,月3,外国語群,,
日本語初級Ｉ（８Ｈコース）,大和 祐子・土井 みつる・下橋 美和,,後期,月3・月4・金1・金2,外国語群,,
日本語初級II（漢字）,古川 由理子,,後期,月3,外国語群,,
日本語中級II（８Ｈコース）,パリハワダナ ルチラ・下橋 美和・和田 弥恵子,,後期,月3・月4・金3・金4,外国語群,,
日本語アカデミック・プレゼンテーションⅠ,河内 彩香,,後期,月3,外国語群,,
情報数学II,三好 博之,,後期,月3,情報群,,
"物理学基礎論Ｂ 1S1,1S2,1S3",関口 仁子,,後期,月4,自然群,,
"物理学基礎論Ｂ 1S4,1S5,1S6",中家 剛,,後期,月4,自然群,,
"物理学基礎論Ｂ 1S7,1S8",横山 央明,,後期,月4,自然群,,
統計物理学,森成 隆夫,,後期,月4,自然群,,
Introduction to the Chemistry of Materials-E2,MURDEY，Richard James,,後期,月4,自然群,,
"細胞と分子の基礎生物学 1M4,1M5,1M6",秋山 秋梅・佐藤 ゆたか,,後期,月4,自然群,,
地球科学入門 －ダイナミクス,加藤 護・小木曽 哲・大見 士朗,,後期,月4,自然群,,
Introductory Statistics-E2,VANDENBON，Alexis,,後期,月4,自然群,,
データ分析演習Ｉ,酒井 博之,,後期,月4,自然群,,
Introduction to Biosciences-E2,MACPHERSON TOM,,後期,月4,自然群,,
英語リーディング ER07 1L4,前田 祐子,,後期,月4,外国語群,,
英語リーディング ER08 1L5,脇坂 美和子,,後期,月4,外国語群,,
英語リーディング ER09 1L6,仁井田 千絵,,後期,月4,外国語群,,
英語ライティング－リスニングＡ 単位未修得者クラス ESW51,和泉 絵美,,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW04a 1L1,PARSONS，Daniel William,,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW04b 1L1,ルッケル瀬本 阿矢,,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW05a 1L2,"RYLANDER, John",,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW05b 1L2,中尾 朋子,,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW06a 1L3,MILNE，Daniel,,後期,月4,外国語群,,
英語ライティング－リスニングＢ EW06b 1L3,木塚 惠子,,後期,月4,外国語群,,
英語ライティング－リスニングＢ 単位未修得者クラス ESW01,横森 大輔,,後期,月4,外国語群,,
ドイツ語ＩＢ（演習） D1222,小田 直史,,後期,月4,外国語群,,
ドイツ語ＩＢ（演習） D1223,井尻 楽,,後期,月4,外国語群,,
フランス語ＩＢ（文法） F1112,坂井 礼文,,後期,月4,外国語群,,
中国語ＩＢ（文法） C1122,林 淑美,,後期,月4,外国語群,,
中国語ＩＢ（文法） C1124,劉 愛群,,後期,月4,外国語群,,
中国語ＩＢ（演習） C1223,林 麗てい,,後期,月4,外国語群,,
スペイン語ＩＢ（文法） S1108,塚原 信行・柿原 武史,,後期,月4,外国語群,,
ドイツ語IIＢ D2152,青木 三陽,,後期,月4,外国語群,,
フランス語IIＢ F2153,守田 貴弘,,後期,月4,外国語群,,
日本語中級Ｉ（会話）,亀川 順代,,後期,月4,外国語群,,
日本語上級（研究発表）,大和 祐子,,後期,月4,外国語群,,
プログラミング演習（Ruby）,日置 尋久,,後期,月4・月5,情報群,,
"情報AI基礎［工学部］ （物理工学科） 1T11,1T12",中村 裕一・近藤 一晃,,後期,月4,情報群,,
微分積分学続論Ｉ－ベクトル解析,山崎 愛一,,後期,月5,自然群,,
基礎有機化学Ｉ,藤田 健一,,後期,月5,自然群,,
基礎有機化学II,松永 茂樹・吉野 達彦,,後期,月5,自然群,,
Analytical Chemistry and Forensic Science-E2,MURDEY，Richard James,,後期,月5,自然群,,
地球の営みII －地球史,小木曽 哲,,後期,月5,自然群,,
英語リーディング 単位未修得者クラス ESR01,谷口 一美,,後期,月5,外国語群,,
英語ライティング－リスニングＢ 上級 EWA01,Schipper Sara,,後期,月5,外国語群,,
ドイツ語IIＢ D2153,青木 三陽,,後期,月5,外国語群,,
日本語中級Ｉ（読解）,パリハワダナ ルチラ,,後期,月5,外国語群,,
日本語上級（討論技術）,土井 みつる,,後期,月5,外国語群,,
日本語上級（文献講読IB）,河合 淳子,,後期,月5,外国語群,,
日本語上級（文献講読IIB）,佐々木 幸喜・岡田 幸典,,後期,月5,外国語群,,
Information and Society-E2,HADFI Rafik,,後期,月5,情報群,,
プログラミング（クラウド計算）,渥美 紀寿,,後期,月5,情報群,,
情報企業論,松井 啓之・藤田 哲雄,,後期,月5,情報群,,
プログラミング演習（Python）,喜多 一,,後期,月5,情報群,,
Programming Practice (R)-E2 :For managing and analysing data,Daniel Epron,,後期,月5,情報群,,
微分積分学（講義・演義）Ｂ 1T2,角 大輝,,後期,火1・水2,自然群,,
微分積分学（講義・演義）Ｂ 1T5,佐々木 建祀郎・高村 茂,,後期,火1・水2,自然群,,
微分積分学（講義・演義）Ｂ 1T17,加藤 毅・吉川 敦子,,後期,火1・水2,自然群,,
線形代数学（講義・演義）Ｂ 1T1,市野 篤史・波多野 修也,,後期,火1・水2,自然群,,
線形代数学（講義・演義）Ｂ 1T5,高村 茂・青井 顕宏,,後期,火1・金1,自然群,,
線形代数学（講義・演義）Ｂ 1T18,清瀬 周・池田 保,,後期,火1・水2,自然群,,
線形代数学（講義・演義）Ｂ 1T19,伊藤 哲也・森藤 由美,,後期,火1・水2,自然群,,
"物理学基礎論Ｂ 1H1,1H2,1H3,1M4,1M5,1M6,1φ1,1φ2",森成 隆夫,,後期,火1,自然群,,
"物理学基礎論Ｂ 1M1,1M2,1M3",藤原 直樹,,後期,火1,自然群,,
"物理学基礎論Ｂ 1A1,1A2,1A3,1A4",鶴 剛,,後期,火1,自然群,,
"物理学基礎論Ｂ 1A6,1A7,1A8",土井 俊哉,,後期,火1,自然群,,
熱力学,高井 茂臣,,後期,火1,自然群,,
英語リーディング ER44 1T3,中森 誉之,,後期,火1,外国語群,,
英語リーディング ER45 1T4,塩谷 直史,,後期,火1,外国語群,,
英語リーディング ER47 1T6,仁井田 千絵,,後期,火1,外国語群,,
英語リーディング ER61 1T20,伊村 大樹,,後期,火1,外国語群,,
英語リーディング ER62 1T21,碓井 智子,,後期,火1,外国語群,,
英語リーディング ER63 1T22,藤原 久仁子,,後期,火1,外国語群,,
イタリア語IIＢ（演習） I2251,"BERTELLI, GIULIO ANTONIO",,後期,火1,外国語群,,
日本語初級II（８Ｈコース）,江夏 亜希子,,後期,火1・火2・木3・木4,外国語群,,
日本語上級（論文・レポート作成）,河合 淳子,,後期,火1,外国語群,,
数理論理学Ｂ,立木 秀樹,,後期,火2,自然群,,
微分積分学（講義・演義）Ｂ 1T4,角 大輝,,後期,火2・水2,自然群,,
微分積分学（講義・演義）Ｂ 1T6,佐々木 建祀郎・高村 茂,,後期,火2・水2,自然群,,
微分積分学（講義・演義）Ｂ 1T20,吉川 敦子・加藤 毅,,後期,火2・水2,自然群,,
"微分積分学（講義・演義）Ｂ 1A1,1A2",陽 煜・宮川 明裕,,後期,火2・水3,自然群,,
"微分積分学（講義・演義）Ｂ 1A3,1A4",陽 煜・石川 勝巳,,後期,火2・水4,自然群,,
微分積分学（講義・演義）Ｂ 1A6,井上 義也,,後期,火2・水4,自然群,,
"線形代数学（講義・演義）Ｂ 1M4,1M6",上野 智弘,,後期,火2・水1,自然群,,
線形代数学（講義・演義）Ｂ 1T3,市野 篤史・波多野 修也,,後期,火2・水2,自然群,,
線形代数学（講義・演義）Ｂ 1T6,高村 茂・青井 顕宏,,後期,火2・金1,自然群,,
線形代数学（講義・演義）Ｂ 1T21,清瀬 周・池田 保,,後期,火2・水2,自然群,,
線形代数学（講義・演義）Ｂ 1T22,伊藤 哲也・森藤 由美,,後期,火2・水2,自然群,,
"線形代数学（講義・演義）Ｂ 1A7,1A8",川口 周・鈴木 良明,,後期,火2・水3,自然群,,
"線形代数学（講義・演義）Ｂ 1M5,1M6",上野 智弘,,後期,火2・水2,自然群,,
Calculus with Exercises B 1T25,"劉 逸侃・ADAMO, Maria Stella",,後期,火2・水2,自然群,,
振動・波動論,木下 勝之,,後期,火2,自然群,,
Basic Physical Chemistry (quantum theory)-E2,ARIVAZHAGAN RAJENDRAN,,後期,火2,自然群,,
植物自然史II,瀬戸口 浩彰,,後期,火2,自然群,,
先端生命科学を支える技術II,小田 裕香子・山城 佐和子,,後期,火2,自然群,,
Introduction to Biochemistry-E2,THUMKEO，Dean,,後期,火2,自然群,,
英語リーディング ER42 1T1,桒山 智成,,後期,火2,外国語群,,
英語リーディング ER43 1T2,藤原 久仁子,,後期,火2,外国語群,,
英語リーディング ER46 1T5,GINSBURG，Jason,,後期,火2,外国語群,,
英語リーディング ER58 1T17,伊村 大樹,,後期,火2,外国語群,,
英語リーディング ER59 1T18,塩谷 直史,,後期,火2,外国語群,,
英語リーディング ER60 1T19,PETERSON，Mark,,後期,火2,外国語群,,
英語リーディング 単位未修得者クラス ESR02,中森 誉之,,後期,火2,外国語群,,
英語ライティング－リスニングＢ EW10a 1P1,Schipper Sara,,後期,火2,外国語群,,
英語ライティング－リスニングＢ EW10b 1P1,ダルスキー 智子,,後期,火2,外国語群,,
英語ライティング－リスニングＢ EW11a 1P2,LeBlanc Catherine,,後期,火2,外国語群,,
英語ライティング－リスニングＢ EW11b 1P2,佐藤 龍一,,後期,火2,外国語群,,
ドイツ語ＩＢ（文法） D1109,菅 利恵,,後期,火2,外国語群,,
ドイツ語ＩＢ（文法） D1110,武田 良材,,後期,火2,外国語群,,
ドイツ語ＩＢ（演習） D1208,OERTLE，Simon,,後期,火2,外国語群,,
フランス語ＩＢ（演習） F1206,GRAZIANI，Jean-Francois Rene,,後期,火2,外国語群,,
中国語ＩＢ（演習） C1210,松江 崇,,後期,火2,外国語群,,
中国語ＩＢ（演習） C1211,黄 明月,,後期,火2,外国語群,,
スペイン語ＩＢ（文法） S1104,塚原 信行・柿原 武史,,後期,火2,外国語群,,
中国語IIＢC252,山田 晃三,,後期,火2,外国語群,,
イタリア語IIＢ（演習） I2252,"BERTELLI, GIULIO ANTONIO",,後期,火2,外国語群,,
スペイン語IIＢ S2151,塚原 信行,,後期,火2,外国語群,,
日本語中級Ｉ（会話）,大和 祐子,,後期,火2,外国語群,,
"微分積分学Ｂ 1T23,1T24",久保 雅義,,後期,火3・火4,自然群,,
関数論,木坂 正史,,後期,火3,自然群,,
微分積分学（講義・演義）Ｂ 1T8,菊地 克彦,,後期,火3・金1,自然群,,
微分積分学（講義・演義）Ｂ 1T11,菊地 克彦,,後期,火3・金2,自然群,,
微分積分学（講義・演義）Ｂ 1T14,佐々木 建祀郎・跡部 発,,後期,火3・金1,自然群,,
微分積分学（講義・演義）Ｂ 1T16,佐々木 建祀郎・跡部 発,,後期,火3・金2,自然群,,
線形代数学（講義・演義）Ｂ 1T7,小菅 真吾・陽 煜,,後期,火3・金1,自然群,,
線形代数学（講義・演義）Ｂ 1T9,髙尾 尚武・鈴木 美裕,,後期,火3・金1,自然群,,
線形代数学（講義・演義）Ｂ 1T10,小菅 真吾・陽 煜,,後期,火3・金2,自然群,,
線形代数学（講義・演義）Ｂ 1T12,髙尾 尚武・鈴木 美裕,,後期,火3・金2,自然群,,
線形代数学（講義・演義）Ｂ 1T13,平川 亮太・美舩 健,,後期,火3・金1,自然群,,
線形代数学（講義・演義）Ｂ 1T15,平川 亮太・美舩 健,,後期,火3・金2,自然群,,
Honors Mathematics A-E2,"ADAMO, Maria Stella",,後期,火3,自然群,,
"物理学実験 1T1,1T2,1T5,1T6",吉田 鉄平,,後期,火3・火4,自然群,,
Advanced Dynamics 1T25,KIM，SUNMIN,,後期,火3,自然群,,
"力学続論 1S1,1S2,1S4,1S5",幸坂 祐生,,後期,火3,自然群,,
みんなの物理II,舟橋 春彦,,後期,火3,自然群,,
Fundamental Physics B-E2,AMAR，Julien Samuel,,後期,火3,自然群,,
Introduction to Plasma Science-E2,Arseniy Aleksandrovich，Kuzmin,,後期,火3,自然群,,
"基礎化学実験 1H1,1H2,1H3,1S3,1S7,1S8,1A1,1A2,1A3,1A4,1A7,1A8",吉田 寿雄・奥山 弘・小川 幹太・大友 章裕・小川 剛伸・山本 潤子,,後期,火3・火4,自然群,,
化学概論II,中村 敏浩,,後期,火3,自然群,,
Introduction to Inorganic Chemistry B-E2,Tong Zhu,,後期,火3,自然群,,
Chemistry of Sustainable Energy-E2,ARIVAZHAGAN RAJENDRAN,,後期,火3,自然群,,
Introduction to Biochemistry-E2,THUMKEO，Dean,,後期,火3,自然群,,
"統計入門 2T5,2T6",井本 桂右,,後期,火3,自然群,,
統計と人工知能,西野 恒・櫻田 健・川原 僚,,後期,火3,自然群,,
英語リーディング ER39 1M6,林 美穂子,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW37a 1M4,Schipper Sara,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW37b 1M4,ダルスキー 智子,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW38a 1M5,ARMSTRONG，Wesley James,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW38b 1M5,金丸 敏幸,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW40a 1φ1,MILNE，Daniel,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW40b 1φ1,LeBlanc Catherine,,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW41a 1φ2,"RYLANDER, John",,後期,火3,外国語群,,
英語ライティング－リスニングＢ EW41b 1φ2,八木 淳一,,後期,火3,外国語群,,
ドイツ語ＩＢ（文法） D1104,細見 和之,,後期,火3,外国語群,,
ドイツ語ＩＢ（演習） D1203,武田 良材,,後期,火3,外国語群,,
ドイツ語ＩＢ（演習） D1205,菅 利恵,,後期,火3,外国語群,,
ドイツ語ＩＢ（演習） D1207,西井 美幸,,後期,火3,外国語群,,
フランス語ＩＢ（文法） F1103,上田 泰史,,後期,火3,外国語群,,
フランス語ＩＢ（文法） F1104,柴田 秀樹,,後期,火3,外国語群,,
フランス語ＩＢ（演習） F1201,GRAZIANI，Jean-Francois Rene,,後期,火3,外国語群,,
