授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
化学プロセス工学［W２０２（創成）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,
化学プロセス工学［ＮＳ（先端）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,
基礎流体力学,谷口 貴志,2回生以上,後期,火2,工学部専門科目,理工化学科,
化学工学計算機演習,河瀬 元明・蘆田 隆一,2回生以上,後期,火4,工学部専門科目,理工化学科,
反応工学Ｉ,中川 浩行・河瀬 元明,2回生以上,後期,金2,工学部専門科目,理工化学科,
材料有機合成化学,山子 茂・秋吉 美里,3回生以上,後期,月2,工学部専門科目,理工化学科,
高分子化学序論,中村 洋,2回生以上,前期,水2,工学部専門科目,理工化学科,
Chem-E-Car設計・実験,佐野 紀彰・中川 浩行・村中 陽介・丸山 博之,2回生以上,後期,"金3,4",工学部専門科目,理工化学科,
無機化学Ｉ（先端化学）［工化1・工化3］,安部 武志・作花 哲夫・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,
無機化学Ｉ（先端化学）［工化2・工化4］,安部 武志・作花 哲夫・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,
分析化学Ｉ（先端化学）［工化1・工化3］,作花 哲夫・安部 武志・野平 俊之・西 直哉・佐藤 喬章・山本 貴之・佐藤 哲也,2回生以上,後期,火2,工学部専門科目,理工化学科,
分析化学Ｉ（先端化学）［工化2・工化4］,作花 哲夫・安部 武志・野平 俊之・西 直哉・佐藤 喬章・山本 貴之・佐藤 哲也,2回生以上,後期,火2,工学部専門科目,理工化学科,
有機化学Ｉ（先端化学）,生越 友樹・中村 正治,2回生以上,後期,月1,工学部専門科目,理工化学科,
